Name,Value
Not Applicable,00
Military Aircraft Type : Attack/Strike,01
Military Aircraft Type : Bomber,02
Aircraft Type : Cargo,03
Military Aircraft Type : Fighter,04
Military Aircraft Type : Interceptor,05
Aircraft Type : Tanker,06
Aircraft Type : Utility,07
Aircraft Type : VSTOL/VTOL,08
Aircraft Type : Passenger,09
Aircraft Type : Ultra Light,10
Military Aircraft Type : Airborne Command Post (ACP),11
Military Aircraft Type : Airborne Early Warning (AEW),12
Aircraft Type : Government,13
Mission Area : Medical Evacuation (MEDEVAC),14
Military Mission Area : Escort,15
Military Mission Area : Electronic Combat (EC)/Jammer,16
Mission Area : Patrol,17
Mission Area : Reconnaissance,18
Mission Area : Trainer,19
Mission Area : Photographic (Reconnaissance),20
Mission Area : Personnel Recovery,21
Military Mission Area : Antisubmarine Warfare,22
Mission Area : Communications,23
Military Mission Area : Electronic Support (ES),24
Military Mission Area : Mine Countermeasures (MCM),25
Mission Area : Search and Rescue,26
Military Mission Area : Special Operations Forces,27
Military Mission Area : Surface Warfare,28
Mission Area : Very Important Person (VIP) Transport,29
Military Mission Area : Combat Search and Rescue (CSAR),30
Military Mission Area : Suppression of Enemy Air Defenses,31
Military Mission Area : Antisurface Warfare,32
Military Aircraft Type : Fighter/Bomber,33
Mission Area : Intensive Care,34
Military Mission Area : Electronic Attack (EA),35
Mission Area : Multimission,36
Crime : Hijacking (Air),37
Mission Area : ASW Helo - LAMPS,38
Mission Area : ASW Helo - SH-60R,39
Unspecified,00
Launch Origin : Air,01
Launch Origin : Surface,02
Launch Origin : Subsurface,03
Launch Origin : Space,04
Missile Class : Anti-Ballistic,05
Missile Class : Ballistic (Air Missile),06
Missile Class : Cruise,07
Missile Class : Interceptor (Air Missile),08
Unspecified,00
Orbit : Low Earth Orbit (LEO),01
Orbit : Medium Earth Orbit (MEO),02
Orbit : High Earth Orbit (HEO),03
Orbit : Geosynchronous Orbit (GSO),04
Orbit : Geostationary Orbit (GO),05
Orbit : Molniya Orbit (MO),06
Unspecified,00
Missile Class : Ballistic (Space Missile),01
Launch Origin : Space 1,02
Missile Class : Interceptor (Space Missile),03
Unspecified,00
Mobility : Air Mobile/Air Assault (US Only),01
Capability : Area,02
Capability : Attack 1,03
Capability : Biological,04
Capability : Border,05
Capability : Bridging,06
Capability : Chemical,07
Capability : Close Protection,08
Capability : Combat,09
Capability : Command and Control,10
Capability : Communications Contingency Package,11
Capability : Construction,12
Capability : Cross Cultural Communication,13
Capability : Crowd and Riot Control,14
Capability : Decontamination 1,15
Capability : Detention,16
Capability : Direct Communications,17
Capability : Diving,18
Capability : Division,19
Capability : Dog,20
Capability : Drilling,21
Capability : Electro-Optical,22
Capability : Enhanced,23
Capability : Explosive Ordnance Disposal (EOD),24
Capability : Fire Direction Center,25
Capability : Force,26
Capability : Forward,27
Capability : Ground Station Module,28
Capability : Landing Support,29
Capability : Large Extension Node,30
Capability : Maintenance,31
Capability : Meteorological,32
Capability : Mine Countermeasure,33
Capability : Missile,34
Capability : Mobile Advisor and Support,35
Capability : Mobile Subscriber Equipment,36
Capability : Mobility Support,37
Capability : Movement Control Center,38
Capability : Multinational,39
Capability : Multinational Specialized Unit,40
Capability : Multiple Rocket Launcher,41
Capability : NATO Medical Role 1,42
Capability : NATO Medical Role 2,43
Capability : NATO Medical Role 3,44
Capability : NATO Medical Role 4,45
Capability : Naval,46
Capability : Node Center,47
Capability : Nuclear,48
Capability : Operations,49
Capability : Radar,50
Capability : RFID Interrogator/Sensor,51
Capability : Radiological,52
Capability : Search and Rescue,53
Capability : Security,54
Capability : Sensor,55
Capability : Sensor Control Module (SCM),56
Capability : Signals Intelligence,57
Capability : Single Shelter Switch,58
Capability : Single Rocket Launcher,59
Capability : Smoke,60
Capability : Sniper,61
Capability : Sound Ranging,62
Capability : Special Operations Forces (SOF),63
Capability : Special Weapons and Tactics,64
Capability : Survey,65
Capability : Tactical Exploitation,66
Capability : Target Acquisition,67
Capability : Topographic,68
Capability : Utility 1,69
Capability : Video Imagery (Combat Camera),70
Composite Loss : Accident (Land Units),71
Composite Loss : Other (Land Units),72
Operation : Civilian (Land Units),73
Capability : Antisubmarine Warfare,74
Capability : Medevac,75
Capability : Ranger,76
Capability : Support 1,77
Capability : Aviation,78
Unspecified,00
Crime : Assassination (Land Civilian),01
Crime : Execution (Wrongful Killing) (Land Civilian),02
Crime : Murder Victims,03
Crime : Hijacking (Land Civilian),04
Crime : Kidnapping (Land Civilian),05
Crime : Piracy (Land Civilian),06
Crime : Rape (Land Civilian),07
Organization : Civilian (Land Civilian),08
Organization : Displaced Person(s)- Refugee(s) and Evacuee(s),09
Organization : Foreign Fighter(s),10
Organization : Gang Member or Gang,11
Organization : Government Organization,12
Organization : Leader or Leadership 1,13
Organization : Nongovernmental Organization Member or Nongovernmental Organization,14
Organization : Coerced/Impressed Recruit,15
Organization : Willing Recruit,16
Organization : Religious or Religious Organization,17
Organization : Targeted Individual or Organization,18
Organization : Terrorist or Terrorist Organization,19
Organization : Speaker,20
Composite Loss : Accident (Land Civilian),21
Composite Loss : Combat,22
Composite Loss : Other (Land Civilian),23
Crime : Loot,24
Unspecified,00
Sensor Type : Biological,01
Sensor Type : Chemical,02
Sensor Type : Early Warning Radar,03
Sensor Type : Intrusion,04
Sensor Type : Nuclear,05
Sensor Type : Radiological,06
Sensor Type : Upgraded Early Warning Radar,07
Crime : Hijacking (Land Equipment),08
Organization : Civilian (Land Equipment),09
Unspecified,00
CBRN Type : Biological,01
CBRN Type : Chemical,02
CBRN Type : Nuclear,03
CBRN Type : Radiological,04
CBRN Type : Decontamination,05
Electric Power Type : Coal,06
Electric Power Type : Geothermal,07
Electric Power Type : Hydroelectric,08
Electric Power Type : Natural Gas,09
Electric Power Type : Petroleum,10
Operation : Civilian (Land Installation),11
Civilian Telecommunications Type : Civilian Telephone,12
Civilian Telecommunications Type : Civilian Television,13
Unspecified,00
Mission Area : Own Ship,01
Mission Area : Antiair Warfare,02
Mission Area : Antisubmarine Warfare (Sea Surface),03
Mission Area : Escort,04
Mission Area : Electronic Warfare,05
Mission Area : Intelligence- Surveillance- Reconnaissance,06
Mission Area : Mine Countermeasures (Sea Surface),07
Mission Area : Missile Defense,08
Mission Area : Medical,09
Mission Area : Mine Warfare (Sea Surface),10
Mission Area : Remote Multi-Mission Vehicle (USV-only),11
Asset Capability : SOF (Sea Surface),12
Mission Area : Surface Warfare (Sea Surface),13
Weapons Capability : Ballistic Missile (Sea Surface),14
Weapons Capability : Guided Missile (Sea Surface),15
