Name,Value
Unspecified,000000
Command and Control Lines : Boundary,110100
Command and Control Lines : Light Line,110200
Maneuver Lines : Forward Line of Troops : Friendly Present,140101
Maneuver Lines : Forward Line of Troops : Friendly Planned or on Order,140102
Maneuver Lines : Forward Line of Troops : Enemy Known,140103
Maneuver Lines : Forward Line of Troops : Enemy Suspected or Templated,140104
Maneuver Lines : Phase Line,140300
Maneuver Lines : Forward Edge of the Battle Area,140400
Maneuver Lines : Forward Edge of the Battle Area : Proposed or On Order,140401
Maneuver Lines : Principal Direction of Fire,140500
Maneuver Lines : Direction of Attack : Friendly Aviation,140601
Maneuver Lines : Direction of Attack : Friendly Direction of Main Attack,140602
Maneuver Lines : Direction of Attack : Friendly Direction of Supporting Attack,140603
Maneuver Lines : Direction of Attack : Friendly Planned or On Order,140604
Maneuver Lines : Direction of Attack : Feint,140605
Maneuver Lines : Direction of Attack : Enemy Confirmed,140606
Maneuver Lines : Direction of Attack : Enemy Templated or Suspected,140607
Maneuver Lines : Final Coordination Line,140700
Maneuver Lines : Infiltration Lane,140800
Maneuver Lines : Limit of Advance,140900
Maneuver Lines : Line of Departure,141000
Maneuver Lines : Line of Departure/Line of Contact,141100
Maneuver Lines : Probable Line of Deployment,141200
Maneuver Lines : Bridgehead Line,141400
Maneuver Lines : Holding Line,141500
Maneuver Lines : Release Line,141600
Maneuver Lines : Ambush,141700
Maneuver Areas : Battle Position : Contain,151204
Maneuver Areas : Battle Position : Retain,151205
Maneuver Areas : Axis of Advance : Friendly Airborne/Aviation,151401
Maneuver Areas : Axis of Advance : Attack Helicopter,151402
Maneuver Areas : Axis of Advance : Main Attack,151403
Maneuver Areas : Axis of Advance : Supporting Attack,151404
Maneuver Areas : Axis of Advance : Supporting Attack Planned or On Order,151405
Maneuver Areas : Axis of Advance : Feint,151406
Maneuver Areas : Axis of Advance : Enemy Confirmed,151407
Maneuver Areas : Axis of Advance : Enemy Templated or Suspected,151408
Maneuver Areas : Attack by Fire Position,152000
Maneuver Areas : Support by Fire,152100
Maneuver Areas : Search Area/Reconnaissance Area,152200
Air Corridors : Air Corridor,170100
Air Corridors : Low Level Transit Route,170200
Air Corridors : Minimum-Risk Route,170300
Air Corridors : Safe Lane,170400
Air Corridors : Standard Use Army Aircraft Flight Route,170500
Air Corridors : Transit Corridor,170600
Air Corridors : Unmanned Aircraft (UA) Route,170700
Airspace Control Lines : Identification Friend or Foe Off Line,190100
Airspace Control Lines : Identification Friend or Foe On Line,190200
Maritime Points : Navigational,218400
Maritime Lines : Bearing Line,220100
Maritime Lines : Bearing Line : Electronic,220101
Maritime Lines : Bearing Line : Electronic Warfare (EW),220102
Maritime Lines : Bearing Line : Acoustic,220103
Maritime Lines : Bearing Line : Acoustic (Ambiguous),220104
Maritime Lines : Bearing Line : Torpedo,220105
Maritime Lines : Bearing Line : Electro-Optical Intercept,220106
Maritime Lines : Bearing Line : Jammer,220107
Maritime Lines : Bearing Line : Radio Direction Finder (RDF),220108
Deception : Decoy/Dummy,230100
Deception : Decoy/Dummy/Feint,230200
Fires Areas : Linear Targets : Linear Target,240701
Fires Areas : Linear Targets : Linear Smoke Target,240702
Fires Areas : Linear Targets : Final Protective Fire (FPF),240703
Fire Lines : Fire Support Coordination Line (FSCL),260100
Fire Lines : Coordinated Fire Line (CFL),260200
Fire Lines : No Fire Line,260300
Fire Lines : Battlefield Coordination Line,260400
Fire Lines : Restrictive Fire Line,260500
Fire Lines : Munition Flight Path,260600
Protection Areas : Obstacle Effects : Block,270501
Protection Areas : Obstacle Effects : Disrupt,270502
Protection Areas : Obstacle Effects : Fix,270503
Protection Areas : Obstacle Effects : Turn,270504
