Name,Value
Unspecified,000000
Command and Control Points : Action Point (General),130100
Command and Control Points : Amnesty Point,130200
Command and Control Points : Checkpoint,130300
Command and Control Points : Center of Main Effort,130400
Command and Control Points : Contact Point,130500
Command and Control Points : Coordinating Point,130600
Command and Control Points : Decision Point,130700
Command and Control Points : Distress Call,130800
Command and Control Points : Entry Control Point,130900
Command and Control Points : Fly-To-Point : Fly-To-Point (Sonobuoy),131001
Command and Control Points : Fly-To-Point : Fly-To-Point (Weapon),131002
Command and Control Points : Fly-To-Point : Fly-To-Point (Normal),131003
Command and Control Points : Linkup Point,131100
Command and Control Points : Passage Point,131200
Command and Control Points : Point of Interest,131300
Command and Control Points : Point of Interest : Launch Event (Point of Interest),131301
Command and Control Points : Rally Point,131400
Command and Control Points : Release Point,131500
Command and Control Points : Start Point,131600
Command and Control Points : Special Point,131700
Command and Control Points : Waypoint,131800
Command and Control Points : Airfield,131900
Maneuver Points : Observation Post/Outpost (Unspecified),160100
Maneuver Points : Observation Post/Outpost (Specified),160200
Maneuver Points : Observation Post/Outpost (Specified) : Reconnaissance Outpost,160201
Maneuver Points : Observation Post/Outpost (Specified) : Forward Observer Outpost,160202
Maneuver Points : Observation Post/Outpost (Specified) : CBRN Observation Outpost,160203
Maneuver Points : Observation Post/Outpost (Specified) : Sensor Outpost/Listening Post,160204
Maneuver Points : Observation Post/Outpost (Specified) : Combat Outpost,160205
Maneuver Points : Target Reference Point,160300
Maneuver Points : Point of Departure,160400
Airspace Control Points,180000
Airspace Control Points : Air Control Point,180100
Airspace Control Points : Communications Checkpoint,180200
Airspace Control Points : Downed Aircrew Pick-Up Point,180300
Airspace Control Points : Pop-up Point,180400
Airspace Control Points : Air Control Rendezvous,180500
Airspace Control Points : TACAN,180600
Airspace Control Points : CAP Station,180700
Airspace Control Points : AEW Station,180800
Airspace Control Points : ASW (Helo and F/W) Station,180900
Airspace Control Points : Strike Initial Point,181000
Airspace Control Points : Replemenshment Station,181100
Airspace Control Points : Tanking,181200
Airspace Control Points : Antisubmarine Warfare- Rotary Wing,181300
Airspace Control Points : SUCAP - Fixed Wing,181400
Airspace Control Points : SUCAP - Rotary Wing,181500
Airspace Control Points : MIW - Fixed Wing,181600
Airspace Control Points : MIW - Rotary Wing,181700
Airspace Control Points : Tomcat,181800
Airspace Control Points : Rescue,181900
Airspace Control Points : Unmanned Aerial System (UAS/UA),182000
Airspace Control Points : VTUA,182100
Airspace Control Points : Orbit,182200
Airspace Control Points : Orbit - Figure Eight,182300
Airspace Control Points : Orbit - Race Track,182400
Airspace Control Points : Orbit - Random Closed,182500
Maritime Areas : Ship Area of Interest,200400
Maritime Areas : Active Maneuver Area,200500
Maritime Areas : Cued Acquisition Doctrine,200600
Maritime Areas : Radar Search Doctrine,200700
Maritime Points : Plan Ship,210100
Maritime Points : Aim Point,210200
Maritime Points : Defended Asset,210300
Maritime Points : Drop Point,210400
Maritime Points : Entry Point,210500
Maritime Points : Air Detonation,210600
Maritime Points : Ground Zero,210700
Maritime Points : Impact Point,210800
Maritime Points : Predicted Impact Point,210900
Maritime Points : Launched Torpedo,211000
Maritime Points : Missile Detection Point,211100
Maritime Points : Acoustic Countermeasure (Decoy),211200
Maritime Points : Electronic Countermeasures (ECM) Decoy,211300
Maritime Points : Brief Contact,211400
Maritime Points : Datum Lost Contact,211500
Maritime Points : BT Buoy Drop,211600
Maritime Points : Reported Bottom Sub,211700
Maritime Points : Moving Haven,211800
Maritime Points : Screen Center,211900
Maritime Points : Lost Contact,212000
Maritime Points : Sinker,212100
Maritime Points : Trial Track,212200
Maritime Points : Acoustic Fix,212300
Maritime Points : Electromagnetic Fix,212400
Maritime Points : Electromagnetic - Magnetic Anomaly Detection (MAD),212500
Maritime Points : Optical Fix,212600
Maritime Points : Formation,212700
Maritime Points : Harbor,212800
Maritime Points : Harbor Entrance Point : A,212901
Maritime Points : Harbor Entrance Point : Q,212902
Maritime Points : Harbor Entrance Point : X,212903
Maritime Points : Harbor Entrance Point : Y,212904
Maritime Points : Dip Position,213000
Maritime Points : Search,213100
Maritime Points : Search Area,213200
Maritime Points : Search Center,213300
Maritime Points : Navigational Reference Point (Search),213400
Maritime Points : Sonobuoy,213500
Maritime Points : Sonobuoy : Ambient Noise,213501
Maritime Points : Sonobuoy : Air Transportable Communication,213502
Maritime Points : Sonobuoy : Barra,213503
Maritime Points : Sonobuoy : Bathythermograph Transmitting,213504
