Name,Value
Unspecified,000000
Weapon/Weapon System,110000
Weapon/Weapon System : Rifle,110100
Weapon/Weapon System : Rifle : Single Shot Rifle,110101
Weapon/Weapon System : Rifle : Semiautomatic Rifle,110102
Weapon/Weapon System : Rifle : Automatic Rifle,110103
Weapon/Weapon System : Machine Gun,110200
Weapon/Weapon System : Machine Gun : Light,110201
Weapon/Weapon System : Machine Gun : Medium,110202
Weapon/Weapon System : Machine Gun : Heavy,110203
Weapon/Weapon System : Grenade Launcher,110300
Weapon/Weapon System : Grenade Launcher : Light,110301
Weapon/Weapon System : Grenade Launcher : Medium,110302
Weapon/Weapon System : Grenade Launcher : Heavy,110303
Weapon/Weapon System : Flame Thrower,110400
Weapon/Weapon System : Air Defense Gun,110500
Weapon/Weapon System : Air Defense Gun : Light,110501
Weapon/Weapon System : Air Defense Gun : Medium,110502
Weapon/Weapon System : Air Defense Gun : Heavy,110503
Weapon/Weapon System : Antitank Gun,110600
Weapon/Weapon System : Antitank Gun : Light,110601
Weapon/Weapon System : Antitank Gun : Medium,110602
Weapon/Weapon System : Antitank Gun : Heavy,110603
Weapon/Weapon System : Direct Fire Gun,110700
Weapon/Weapon System : Direct Fire Gun : Light,110701
Weapon/Weapon System : Direct Fire Gun : Medium,110702
Weapon/Weapon System : Direct Fire Gun : Heavy,110703
Weapon/Weapon System : Recoilless Gun,110800
Weapon/Weapon System : Recoilless Gun : Light,110801
Weapon/Weapon System : Recoilless Gun : Medium,110802
Weapon/Weapon System : Recoilless Gun : Heavy,110803
Weapon/Weapon System : Howitzer,110900
Weapon/Weapon System : Howitzer : Light,110901
Weapon/Weapon System : Howitzer : Medium,110902
Weapon/Weapon System : Howitzer : Heavy,110903
Weapon/Weapon System : Missile Launcher,111000
Weapon/Weapon System : Missile Launcher : Light,111001
Weapon/Weapon System : Missile Launcher : Medium,111002
Weapon/Weapon System : Missile Launcher : Heavy,111003
Weapon/Weapon System : ADML,111100
Weapon/Weapon System : ADML : Light,111101
Weapon/Weapon System : ADML : Light- Light Transporter-Launcher and Radar (TLAR),111102
Weapon/Weapon System : ADML : Light- Light Tactical Landing Approach Radar (TELAR),111103
Weapon/Weapon System : ADML : Medium,111104
Weapon/Weapon System : ADML : Medium- TLAR,111105
Weapon/Weapon System : ADML : Medium- TELAR Air Defense Missile Launcher,111106
Weapon/Weapon System : ADML : Heavy,111107
Weapon/Weapon System : ADML : Heavy- TLAR,111108
