Name,Value
Unspecified,000000
Sea Mine-General,110000
Sea Mine-General : Sea Mine-Bottom,110100
Sea Mine-General : Sea Mine-Moored,110200
Sea Mine-General : Sea Mine-Floating,110300
Sea Mine-General : Sea Mine-Rising,110400
Sea Mine-General : Sea Mine-Other Position,110500
Sea Mine-General : Exercise Mine-General,110800
Sea Mine-General : Exercise Mine-General : Exercise Mine-Bottom,110801
Sea Mine-General : Exercise Mine-General : Exercise Mine-Moored,110802
Sea Mine-General : Exercise Mine-General : Exercise Mine-Floating,110803
Sea Mine-General : Exercise Mine-General : Exercise Mine-Rising,110804
Sea Mine-General : Neutralized,110900
Sea Mine-General : Neutralized : Neutralized Mine-Bottom,110901
Sea Mine-General : Neutralized : Neutralized Mine-Moored,110902
Sea Mine-General : Neutralized : Neutralized Mine-Floating,110903
Sea Mine-General : Neutralized : Neutralized Mine-Rising,110904
Sea Mine-General : Neutralized : Neutralized Mine-Other Position,110905
Unexploded Ordnance,120000
Sea Mine Decoy,130000
Sea Mine Decoy : Sea Mine Decoy-Bottom,130100
Sea Mine Decoy : Sea Mine Decoy-Moored,130200
MILCO : General,140100
MILCO : General : General-Confidence-Level 1,140101
MILCO : General : General-Confidence-Level 2,140102
MILCO : General : General-Confidence-Level 3,140103
MILCO : General : General-Confidence-Level 4,140104
MILCO : General : General-Confidence-Level 5,140105
MILCO : Bottom,140200
MILCO : Bottom : Bottom-Confidence-Level 1,140201
MILCO : Bottom : Bottom-Confidence-Level 2,140202
MILCO : Bottom : Bottom-Confidence-Level 3,140203
MILCO : Bottom : Bottom-Confidence-Level 4,140204
MILCO : Bottom : Bottom-Confidence-Level 5,140205
MILCO : Moored,140300
MILCO : Moored : Moored-Confidence-Level 1,140301
MILCO : Moored : Moored-Confidence-Level 2,140302
MILCO : Moored : Moored-Confidence-Level 3,140303
MILCO : Moored : Moored-Confidence-Level 4,140304
MILCO : Moored : Moored-Confidence-Level 5,140305
MILCO : Floating,140400
MILCO : Floating : Floating-Confidence-Level 1,140401
MILCO : Floating : Floating-Confidence-Level 2,140402
MILCO : Floating : Floating-Confidence-Level 3,140403
MILCO : Floating : Floating-Confidence-Level 4,140404
MILCO : Floating : Floating-Confidence-Level 5,140405
Mine-Like Echo (MILEC)-General,150000
Mine-Like Echo (MILEC)-General : Mine-Like Echo-Bottom,150100
Mine-Like Echo (MILEC)-General : Mine-Like Echo-Moored,150200
Mine-Like Echo (MILEC)-General : Mine-Like Echo-Floating,150300
Negative Reacquisition-General,160000
Negative Reacquisition-General : Negative Reacquisition-Bottom,160100
Negative Reacquisition-General : Negative Reacquisition-Moored,160200
Negative Reacquisition-General : Negative Reacquisition-Floating,160300
Obstructor,170000
Obstructor : Neutralized Obstructor,170100
General Mine Anchor,180000
NMLO-General,190000
NMLO-General : Non-Mine Mine-Like Object-Bottom,190100
NMLO-General : Non-Mine Mine-Like Object-Moored,190200
NMLO-General : Non-Mine Mine-Like Object-Floating,190300
Environmental Report Location,200000
Dive Report Location,210000
