field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_setsubtypes, field_subtype, field_notes
identity,Integer,4,Standard Identity,NULLABLE,Identity,,False,,
context,SmallInteger,2,Context,NULLABLE,Context,,False,,
symbolset,SmallInteger,2,Symbol Set,NON_NULLABLE,Activities,40,False,,
symbolentity,Integer,4,Activity Entity,NON_NULLABLE,Activities_Entities,,False,,
modifier1,Integer,4,Modifier 1,NULLABLE,Activities_Modifier_Ones,,False,,
echelon,Integer,4,Echelon,NULLABLE,Echelons,,False,,
status,SmallInteger,2,Status,NULLABLE,Statuses,,False,,
indicator,Integer,4,"HQ, Task Force, Feint/Dummy",NULLABLE,HQTFFD,,False,,
uniquedesignation,String,30,Unique Designation,NULLABLE,,,False,,
additionalinformation,String,20,Additional Information,NULLABLE,,,False,,
staffcomment,String,20,Staff Comments,NULLABLE,,,False,,
reinforced,SmallInteger,2,Reinforced or Reduced,NULLABLE,Reinforced,,False,,
combateffectiveness,String,5,Combat Effectiveness,NULLABLE,CombatEffectiveness,,False,,
credibility,SmallInteger,2,Credibility,NULLABLE,Credibility,,False,,
reliability,String,2,Reliability,NULLABLE,Reliability,,False,,
idmode,String,15,IFF/SIF/AIS,NULLABLE,,,False,,
quantity,SmallInteger,2,Quantity,NULLABLE,,,False,,
x,Double,8,X Location,NULLABLE,,,False,,
y,Double,8,Y Location,NULLABLE,,,False,,
z,Double,8,Altitude/Depth,NULLABLE,,,False,,
size,SmallInteger,2,Symbol Size,NULLABLE,,,False,,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,,,False,,
countrycode,String,3,Country Code,NULLABLE,CountryCodes,,False,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,False,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,False,,
createdby,String,50,Created By,NULLABLE,,,False,,
createdtime,Date,8,Created Time,NULLABLE,,,False,,
editedby,String,50,Edited By,NULLABLE,,,False,,
editedtime,Date,8,Edited Time,NULLABLE,,,False,,
civilian,SmallInteger,2,Civilian,NULLABLE,TrueFalse,0,False,,
