field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_setsubtypes, field_subtype, field_notes
symbolset,SmallInteger,2,Symbol Set,NULLABLE,METOCPoints,,True,,
symbolentity,Integer,4,METOC Point Entity,NULLABLE,METOC_Atmospheric_Point_Entities,,False,45,
symbolentity,Integer,4,METOC Point Entity,NULLABLE,METOC_Oceanographic_Point_Entities,,False,46,
additionalinformation,String,20,Additional Information,NULLABLE,,,False,,
size,SmallInteger,2,Symbol Size,NULLABLE,,,False,,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,,,False,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,False,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,False,,
createdby,String,50,Created By,NULLABLE,,,False,,
createdtime,Date,8,Created Time,NULLABLE,,,False,,
editedby,String,50,Edited By,NULLABLE,,,False,,
editedtime,Date,8,Edited Time,NULLABLE,,,False,,
optionallabel,String,30,Optional Label,NULLABLE,,,False,,
