field_name,field_type,field_length,field_alias,nullability,field_domain,field_default,field_setsubtypes, field_subtype, field_notes
identity,Integer,4,Standard Identity,NULLABLE,Identity,,False,,
context,SmallInteger,2,Context,NULLABLE,Context,,False,,
symbolset,SmallInteger,2,Symbol Set,NON_NULLABLE,Space,,True,,
symbolentity,Integer,4,Space Entity,NULLABLE,Space_Entities,,False,5,
symbolentity,Integer,4,Space Entity,NULLABLE,Space_Missile_Entities,,False,6,
modifier1,Integer,4,Modifier 1,NULLABLE,Space_Modifier_Ones,,False,5,
modifier1,Integer,4,Modifier 1,NULLABLE,Space_Missile_Modifier_Ones,,False,6,
modifier2,Integer,4,Modifier 2,NULLABLE,Space_Modifier_Twos,,False,5,
modifier2,Integer,4,Modifier 2,NULLABLE,Space_Missile_Modifier_Twos,,False,6,
indicator,Integer,4,"HQ, Task Force, Feint/Dummy",NULLABLE,HQTFFD,,False,,
operationalcondition,Integer,4,Operational Condition,NULLABLE,Operational_Condition_Amplifier,,False,,
uniquedesignation,String,30,Unique Designation,NULLABLE,,,False,,
additionalinformation,String,20,Additional Information,NULLABLE,,,False,,
staffcomment,String,20,Staff Comments,NULLABLE,,,False,,
type,String,24,Type of Equipment,NULLABLE,,,False,,
direction,SmallInteger,2,Direction,NULLABLE,Direction,,False,,
speed,SmallInteger,2,Speed,NULLABLE,,,False,,
speedunit,String,3,Speed Unit,NULLABLE,SpeedUnits,,False,,
x,Double,8,X Location,NULLABLE,,,False,,
y,Double,8,Y Location,NULLABLE,,,False,,
z,Double,8,Altitude/Depth,NULLABLE,,,False,,
size,SmallInteger,2,Symbol Size,NULLABLE,,,False,,
rotation,SmallInteger,2,Symbol Rotation,NULLABLE,,,False,,
countrycode,String,3,Country Code,NULLABLE,CountryCodes,,False,,
datetimevalid,Date,8,Date Time Valid,NULLABLE,,,False,,
datetimeexpired,Date,8,Date Time Expired,NULLABLE,,,False,,
createdby,String,50,Created By,NULLABLE,,,False,,
createdtime,Date,8,Created Time,NULLABLE,,,False,,
editedby,String,50,Edited By,NULLABLE,,,False,,
editedtime,Date,8,Edited Time,NULLABLE,,,False,,
civilian,SmallInteger,2,Civilian,NULLABLE,TrueFalse,0,False,,
